idDimOtherData,calories,avg_heart_rate_element,vrsta_sporta
1,374,118.0,Biking
2,585,114.0,Biking
3,336,120.0,Biking
4,1068,117.0,Biking
5,308,108.0,Biking
6,859,113.0,Biking
7,968,130.0,Biking
8,901,124.0,Biking
9,0,160.0,Biking
10,417,181.0,Biking
11,877,131.0,Biking
12,414,,Biking
13,27,,Biking
14,322,180.0,Biking
15,338,184.0,Biking
16,352,182.0,Biking
17,348,181.0,Biking
18,347,177.0,Biking
19,342,174.0,Biking
20,1231,142.0,Biking
21,193,137.0,Biking
22,66,123.0,Biking
23,432,110.0,Biking
24,715,120.0,Biking
25,235,157.0,Biking
26,38,114.0,Biking
27,237,163.0,Biking
28,37,119.0,Biking
29,237,164.0,Biking
30,466,122.0,Biking
31,216,107.0,Biking
32,194,116.0,Biking
33,1333,172.0,Biking
34,614,112.0,Biking
35,222,99.0,Biking
36,96,128.0,Biking
37,1056,159.0,Biking
38,158,127.0,Biking
39,2324,142.0,Biking
40,715,118.0,Biking
41,687,135.0,Biking
42,326,110.0,Biking
43,1538,130.0,Biking
44,1157,133.0,Biking
45,1127,111.0,Biking
46,242,123.0,Biking
47,199,98.0,Biking
48,362,168.0,Biking
49,2352,140.0,Biking
50,1967,111.0,Biking
51,1882,127.0,Biking
52,719,135.0,Biking
53,296,117.0,Biking
54,462,123.0,Biking
55,240,135.0,Biking
56,501,155.0,Biking
57,269,176.0,Biking
58,245,152.0,Biking
59,185,107.0,Biking
60,1841,132.0,Biking
61,961,106.0,Biking
62,603,143.0,Biking
63,932,125.0,Biking
64,85,122.0,Biking
65,73,124.0,Biking
66,70,119.0,Biking
67,53,113.0,Biking
68,53,111.0,Biking
69,40,102.0,Biking
70,47,106.0,Biking
71,52,101.0,Biking
72,64,111.0,Biking
73,54,114.0,Biking
74,54,107.0,Biking
75,68,122.0,Biking
76,70,128.0,Biking
77,30,114.0,Biking
78,2117,,Biking
79,742,136.0,Biking
80,684,133.0,Biking
81,201,181.0,Biking
82,127,137.0,Biking
83,126,99.0,Biking
84,940,136.0,Biking
85,36,118.0,Biking
86,0,111.0,Biking
87,12,153.0,Biking
88,12,180.0,Biking
89,12,182.0,Biking
90,14,180.0,Biking
91,12,179.0,Biking
92,14,182.0,Biking
93,15,181.0,Biking
94,9,180.0,Biking
95,389,135.0,Biking
96,152,180.0,Biking
97,506,126.0,Biking
