calories,avg_heart_rate_element,vrsta_sporta
374,118.0,Biking
585,114.0,Biking
336,120.0,Biking
1068,117.0,Biking
308,108.0,Biking
859,113.0,Biking
968,130.0,Biking
901,124.0,Biking
0,160.0,Biking
417,181.0,Biking
877,131.0,Biking
414,,Biking
27,,Biking
322,180.0,Biking
338,184.0,Biking
352,182.0,Biking
348,181.0,Biking
347,177.0,Biking
342,174.0,Biking
1231,142.0,Biking
193,137.0,Biking
66,123.0,Biking
432,110.0,Biking
715,120.0,Biking
235,157.0,Biking
38,114.0,Biking
237,163.0,Biking
37,119.0,Biking
237,164.0,Biking
466,122.0,Biking
216,107.0,Biking
194,116.0,Biking
1333,172.0,Biking
614,112.0,Biking
222,99.0,Biking
96,128.0,Biking
1056,159.0,Biking
158,127.0,Biking
2324,142.0,Biking
715,118.0,Biking
687,135.0,Biking
326,110.0,Biking
1538,130.0,Biking
1157,133.0,Biking
1127,111.0,Biking
242,123.0,Biking
199,98.0,Biking
362,168.0,Biking
2352,140.0,Biking
1967,111.0,Biking
1882,127.0,Biking
719,135.0,Biking
296,117.0,Biking
462,123.0,Biking
240,135.0,Biking
501,155.0,Biking
269,176.0,Biking
245,152.0,Biking
185,107.0,Biking
1841,132.0,Biking
961,106.0,Biking
603,143.0,Biking
932,125.0,Biking
85,122.0,Biking
73,124.0,Biking
70,119.0,Biking
53,113.0,Biking
53,111.0,Biking
40,102.0,Biking
47,106.0,Biking
52,101.0,Biking
64,111.0,Biking
54,114.0,Biking
54,107.0,Biking
68,122.0,Biking
70,128.0,Biking
30,114.0,Biking
2117,,Biking
742,136.0,Biking
684,133.0,Biking
201,181.0,Biking
127,137.0,Biking
126,99.0,Biking
940,136.0,Biking
36,118.0,Biking
0,111.0,Biking
12,153.0,Biking
12,180.0,Biking
12,182.0,Biking
14,180.0,Biking
12,179.0,Biking
14,182.0,Biking
15,181.0,Biking
9,180.0,Biking
389,135.0,Biking
152,180.0,Biking
506,126.0,Biking
852,137.0,Biking
2106,159.0,Biking
317,123.0,Biking
109,174.0,Biking
303,117.0,Biking
215,161.0,Biking
22,118.0,Biking
214,164.0,Biking
25,122.0,Biking
52,119.0,Biking
235,164.0,Biking
294,137.0,Biking
219,123.0,Biking
309,129.0,Biking
463,167.0,Biking
9,172.0,Biking
140,110.0,Biking
227,156.0,Biking
578,144.0,Biking
290,182.0,Biking
815,150.0,Biking
209,117.0,Biking
343,129.0,Biking
110,153.0,Biking
5,114.0,Biking
111,155.0,Biking
14,122.0,Biking
62,120.0,Biking
11,120.0,Biking
5,114.0,Biking
119,162.0,Biking
463,131.0,Biking
1617,133.0,Biking
219,99.0,Biking
1031,127.0,Biking
1326,136.0,Biking
1784,134.0,Biking
1059,141.0,Biking
1168,115.0,Biking
87,93.0,Biking
790,119.0,Biking
520,134.0,Biking
238,166.0,Biking
32,116.0,Biking
232,160.0,Biking
5,99.0,Biking
42,161.0,Biking
29,115.0,Biking
45,119.0,Biking
240,160.0,Biking
368,123.0,Biking
0,107.0,Biking
237,123.0,Biking
73,140.0,Biking
141,169.0,Biking
37,132.0,Biking
150,168.0,Biking
201,135.0,Biking
179,103.0,Biking
631,124.0,Biking
424,110.0,Biking
506,109.0,Biking
46,116.0,Biking
840,117.0,Biking
268,171.0,Biking
1104,171.0,Biking
357,123.0,Biking
89,126.0,Biking
89,134.0,Biking
210,172.0,Biking
201,126.0,Biking
231,127.0,Biking
936,161.0,Biking
61,104.0,Biking
914,161.0,Biking
226,126.0,Biking
1889,143.0,Biking
669,144.0,Biking
1047,176.0,Biking
263,115.0,Biking
111,172.0,Biking
104,170.0,Biking
46,136.0,Biking
22,137.0,Biking
101,166.0,Biking
357,129.0,Biking
217,113.0,Biking
378,147.0,Biking
64,112.0,Biking
357,147.0,Biking
63,115.0,Biking
338,148.0,Biking
199,120.0,Biking
184,96.0,Biking
630,124.0,Biking
425,133.0,Biking
163,148.0,Biking
174,154.0,Biking
173,156.0,Biking
193,163.0,Biking
206,127.0,Biking
0,95.0,Biking
704,119.0,Biking
410,115.0,Biking
682,140.0,Biking
196,121.0,Biking
199,163.0,Biking
15,101.0,Biking
74,119.0,Biking
167,130.0,Biking
222,135.0,Biking
1925,146.0,Biking
114,121.0,Biking
959,134.0,Biking
1292,129.0,Biking
216,114.0,Biking
57,154.0,Biking
58,161.0,Biking
19,109.0,Biking
59,159.0,Biking
58,162.0,Biking
20,111.0,Biking
58,164.0,Biking
17,111.0,Biking
58,162.0,Biking
89,109.0,Biking
598,135.0,Biking
1063,117.0,Biking
299,173.0,Biking
122,167.0,Biking
79,107.0,Biking
68,105.0,Biking
319,122.0,Biking
20,106.0,Biking
648,127.0,Biking
748,134.0,Biking
457,171.0,Biking
20,121.0,Biking
438,171.0,Biking
