ime_sportnika,leto,mesec,Skupaj_kilometri,skupaj_trajanje_aktivnosti_sek,poraba_kalorij
Sportnik1,2011,12,707.6308199999999,149440.0,15856.0
Sportnik1,2012,1,978.8132899999998,189565.0,24355.0
Sportnik1,2012,2,485.52959000000004,122939.0,17104.0
Sportnik1,2012,3,958.0338600000003,193236.0,24779.0
Sportnik1,2012,4,529.79607,340530.0,18358.0
Sportnik1,2012,5,858.7771499999999,226091.0,20095.0
Sportnik1,2012,6,776.7026399999999,172197.0,19628.0
Sportnik1,2012,7,652.79507,2286256.75,17189.0
Sportnik1,2012,8,1278.47667,251422.0,26984.0
Sportnik1,2012,9,691.41063,124983.0,16914.0
Sportnik1,2012,10,628.1908999999998,129986.0,13564.0
Sportnik1,2012,11,417.78827,79269.0,9227.0
Sportnik1,2012,12,407.11496,92707.0,10044.0
Sportnik1,2013,1,382.86238,78942.0,9323.0
Sportnik1,2013,2,306.49651,62611.0,5099.0
Sportnik1,2013,3,651.1983599999999,106680.0,14764.0
Sportnik1,2013,4,1157.45532,199872.0,23645.0
Sportnik1,2013,5,1032.02276,185408.0,21881.0
Sportnik1,2013,6,858.14947,174493.0,20052.0
Sportnik1,2013,7,1588.3317700000002,265021.0,46737.0
Sportnik1,2013,8,1178.8731400000001,238975.0,23830.0
Sportnik1,2013,9,995.9962000000002,163975.0,21326.0
Sportnik1,2013,10,1089.70968,141191.0,23583.0
Sportnik1,2013,11,704.9214900000001,109680.0,16903.0
Sportnik1,2013,12,815.79003,141303.0,18342.0
Sportnik1,2014,1,803.36956,123847.0,16461.0
Sportnik1,2014,2,903.93348,123063.0,14318.0
Sportnik1,2014,3,869.7312099999998,148027.0,19821.0
Sportnik1,2014,4,1176.7014899999997,206954.0,26696.0
Sportnik1,2014,5,1053.9595000000002,191475.0,25288.0
Sportnik1,2014,6,857.7288000000002,166908.0,20972.0
Sportnik1,2014,7,1198.2697500000004,196196.0,26776.0
Sportnik1,2014,8,1134.6889800000004,206657.0,25361.0
Sportnik1,2014,9,695.9395999999999,128381.0,18705.0
Sportnik1,2014,10,1034.3379000000002,165677.0,23519.0
Sportnik1,2014,11,209.83309999999997,43745.0,5724.0
Sportnik1,2014,12,665.5332800000001,112413.0,14944.0
Sportnik1,2015,1,869.21702,129829.0,18798.0
Sportnik1,2015,2,917.46922,148596.0,18030.0
Sportnik1,2015,3,832.9706500000001,160082.0,19650.0
Sportnik1,2015,4,1248.83562,178275.0,29146.0
Sportnik1,2015,5,1568.5456399999998,232766.0,34539.0
Sportnik1,2015,6,1099.15076,228252.0,25333.0
Sportnik1,2015,7,1157.6310999999996,201974.0,27862.0
Sportnik1,2015,8,1080.9325299999998,181043.0,25391.0
Sportnik1,2015,9,1281.5869699999994,207759.0,29416.0
Sportnik1,2015,10,648.65435,100408.0,16358.0
Sportnik1,2015,11,262.72055,48898.0,7095.0
Sportnik1,2015,12,525.3810500000001,103855.0,13058.0
Sportnik1,2016,1,467.0106,79446.0,11297.0
Sportnik1,2016,2,875.75617,151007.0,19347.0
Sportnik1,2016,3,1094.71986,179618.0,24128.0
Sportnik1,2016,4,1014.6819499999999,187357.0,35238.0
Sportnik1,2016,5,913.0734399999999,187248.0,32024.0
Sportnik1,2016,6,741.77259,177146.0,30305.0
Sportnik1,2016,7,966.8977100000003,190793.0,30630.0
Sportnik1,2016,8,923.8542100000002,174896.0,29156.0
Sportnik1,2016,9,1018.1529699999999,177606.0,28093.0
Sportnik1,2016,10,547.5298,99589.0,16356.0
Sportnik1,2016,11,518.1464,97250.0,16556.0
Sportnik1,2016,12,867.15393,161297.0,25442.0
Sportnik1,2017,1,466.65416000000005,86358.0,13691.0
Sportnik1,2017,2,972.31852,181329.0,26137.0
Sportnik1,2017,3,974.8581800000001,205036.0,26605.0
Sportnik1,2017,4,1069.05791,207131.0,32111.0
Sportnik1,2017,5,955.8199400000003,178102.0,26328.0
Sportnik1,2017,6,1194.5622799999999,209886.0,30374.0
Sportnik1,2017,7,1058.19552,207897.0,32849.0
Sportnik1,2017,8,805.3315900000002,170527.0,27979.0
Sportnik1,2017,9,439.02143,75597.0,12914.0
Sportnik1,2017,10,528.4201300000001,110574.0,19453.0
Sportnik2,2013,3,29.113390000000003,4190.0,709.0
Sportnik2,2013,4,807.6015300000003,116289.0,19030.0
Sportnik2,2013,5,653.6894000000001,96656.0,16617.0
Sportnik2,2013,6,766.5528599999999,98710.0,19017.0
Sportnik2,2013,7,424.89234,75425.0,9276.0
Sportnik2,2013,8,585.9313500000001,87030.0,14137.0
Sportnik2,2013,9,41.131609999999995,6134.0,899.0
Sportnik2,2013,10,911.78217,120200.0,16049.0
Sportnik2,2013,11,694.5756400000001,96530.0,15889.0
Sportnik2,2013,12,280.30805,39079.0,4945.0
Sportnik2,2014,1,354.26643,44970.0,7362.0
Sportnik2,2014,2,923.79961,131158.0,19998.0
Sportnik2,2014,3,628.65045,77970.0,14661.0
Sportnik2,2014,4,919.2059900000003,121500.0,22875.0
Sportnik2,2014,5,984.2651200000001,135757.0,22315.0
Sportnik2,2014,6,883.1051600000001,105842.0,19395.0
Sportnik2,2014,7,721.8308,94638.0,16788.0
Sportnik2,2014,8,935.8573799999999,135598.0,22193.0
Sportnik2,2014,9,1048.02265,140454.0,26329.0
Sportnik2,2014,10,208.99508000000003,51306.0,6444.0
Sportnik2,2014,11,494.76048,78238.0,12627.0
Sportnik2,2014,12,350.43932,57354.0,6294.0
Sportnik2,2015,1,595.48539,92229.0,12628.0
Sportnik2,2015,2,1230.6759499999998,181641.0,25975.0
Sportnik2,2015,3,993.6764800000001,126353.0,23330.0
Sportnik2,2015,4,1040.0983899999999,121864.0,25851.0
Sportnik2,2015,5,947.6811200000001,122328.0,26879.0
Sportnik2,2015,6,1153.8146,211808.0,25698.0
Sportnik2,2015,7,1108.2252399999998,139751.0,24250.0
Sportnik2,2015,8,988.45803,217589.0,24706.0
Sportnik2,2015,9,1203.3334,146476.0,26635.0
Sportnik2,2015,10,589.72333,107957.0,13611.0
Sportnik2,2015,11,572.67015,61607.0,12902.0
Sportnik2,2015,12,575.09762,96484.0,15260.0
Sportnik2,2016,1,333.84025999999994,69720.0,10051.0
Sportnik2,2016,2,1227.9906099999998,173206.0,30919.0
Sportnik2,2016,3,915.3251400000001,120501.0,20027.0
Sportnik2,2016,4,1082.73127,147750.0,27635.0
Sportnik2,2016,5,681.7665399999998,82315.0,18204.0
Sportnik2,2016,6,1021.6675199999999,124324.0,26104.0
Sportnik2,2016,7,1048.03507,138985.0,25815.0
Sportnik2,2016,8,781.2911200000001,93087.0,23854.0
Sportnik2,2016,9,981.3685999999998,111885.0,23505.0
Sportnik2,2016,10,1075.2567199999999,158573.0,31507.0
Sportnik2,2016,11,439.97294999999997,65548.0,16516.0
Sportnik2,2016,12,88.83716,23399.0,4399.0
Sportnik2,2017,1,103.91682,50167.0,5913.0
Sportnik2,2017,2,756.0928399999999,128230.0,22942.0
Sportnik2,2017,3,1310.5351399999997,180200.0,35211.0
Sportnik2,2017,4,660.39789,83190.0,17743.0
Sportnik2,2017,5,1153.10463,138896.0,32463.0
Sportnik2,2017,6,1127.2603800000002,152085.0,32066.0
Sportnik2,2017,7,844.5503,106390.0,18427.0
Sportnik2,2017,8,1079.5006700000001,132050.0,29740.0
Sportnik2,2017,9,627.85132,76015.0,18531.0
Sportnik2,2017,10,28.84086,6382.0,1327.0
Sportnik3,2013,8,28.796249999999997,28511.0,766.0
Sportnik3,2013,9,482.74406000000005,130619.0,11086.0
Sportnik3,2013,10,192.77439000000004,1847928.0,5871.0
Sportnik3,2013,11,31.378570000000003,7103.0,942.0
Sportnik3,2013,12,50.2858,1207210.0,3174.0
Sportnik3,2014,1,160.74251,584487.0,9410.0
Sportnik3,2014,2,578.20454,412741.0,12524.0
Sportnik3,2014,3,828.9747700000001,384315.0,17031.0
