Skupaj_kilometri,skupaj_trajanje_aktivnosti_sek,poraba_kalorij
707630.8200000001,149440,15856.0
978813.2899999999,189565,24355.0
485529.59,122939,17104.0
958033.8599999998,193236,24779.0
529796.07,340530,18358.0
858777.1500000001,226091,20095.0
776702.64,172197,19628.0
652795.0700000001,2286257,17189.0
1278476.6700000002,251422,26984.0
691410.63,124983,16914.0
628190.9,129986,13564.0
417788.27,79269,9227.0
407114.95999999996,92707,10044.0
382862.37999999995,78942,9323.0
306496.51,62611,5099.0
651198.3600000001,106680,14764.0
1157455.3200000003,199872,23645.0
1032022.7599999999,185408,21881.0
858149.47,174493,20052.0
1588331.77,265021,46737.0
1178873.1400000004,238975,23830.0
995996.1999999996,163975,21326.0
1089709.6799999997,141191,23583.0
704921.4900000001,109680,16903.0
815790.03,141303,18342.0
803369.5599999999,123847,16461.0
903933.48,123063,14318.0
869731.21,148027,19821.0
1176701.4900000002,206954,26696.0
1053959.5,191475,25288.0
857728.7999999997,166908,20972.0
1198269.7500000002,196196,26776.0
1134688.9799999997,206657,25361.0
695939.6000000001,128381,18705.0
1034337.9,165677,23519.0
209833.09999999998,43745,5724.0
665533.28,112413,14944.0
869217.0200000001,129829,18798.0
917469.2199999997,148596,18030.0
832970.6500000001,160082,19650.0
1248835.6200000006,178275,29146.0
1568545.6400000001,232766,34539.0
1099150.76,228252,25333.0
1157631.1,201974,27862.0
1080932.5299999998,181043,25391.0
1281586.9700000004,207759,29416.0
648654.3499999999,100408,16358.0
262720.55000000005,48898,7095.0
525381.0499999999,103855,13058.0
467010.6,79446,11297.0
875756.1699999999,151007,19347.0
1094719.8599999999,179618,24128.0
1014681.9500000002,187357,35238.0
913073.4400000002,187248,32024.0
741772.5899999996,177146,30305.0
966897.7100000002,190793,30630.0
923854.2099999998,174896,29156.0
1018152.9700000002,177606,28093.0
547529.7999999998,99589,16356.0
518146.39999999997,97250,16556.0
867153.93,161297,25442.0
466654.16,86358,13691.0
972318.5199999999,181329,26137.0
974858.1799999997,205036,26605.0
1069057.9100000001,207131,32111.0
955819.9400000001,178102,26328.0
1194562.2799999998,209886,30374.0
1058195.52,207897,32849.0
805331.5900000001,170527,27979.0
439021.43,75597,12914.0
528420.1299999999,110574,19453.0
29113.390000000003,4190,709.0
807601.5300000001,116289,19030.0
653689.4,96656,16617.0
766552.86,98710,19017.0
424892.33999999997,75425,9276.0
8869.41,3240,374.0
23255.08,4374,585.0
14747.77,2445,336.0
30477.19,9969,1068.0
27463.65,4020,308.0
48135.09,7006,859.0
0.0,7662,968.0
39237.28,6830,901.0
18.51,1,0.0
7282.46,1162,417.0
48377.63,9115,877.0
2529.77,2892,414.0
2477.76,2000,27.0
4919.37,1045,322.0
4957.12,1069,338.0
4964.6,1116,352.0
4966.05,1121,348.0
4909.48,1156,347.0
4873.37,1184,342.0
38554.61,6839,1231.0
13870.62,1255,193.0
3124.08,501,66.0
0.0,3616,432.0
17171.93,3625,715.0
2401.13,571,235.0
3120.62,479,38.0
2402.97,570,237.0
3316.73,514,37.0
2387.61,572,237.0
16120.1,3610,466.0
15599.77,2833,216.0
9335.97,1574,194.0
32418.16,5573,1333.0
43843.03,6903,614.0
7237.16,1340,222.0
1272.24,473,96.0
15170.91,4252,1056.0
16517.4,2222,158.0
64152.46,12181,2324.0
38283.54,5446,715.0
12693.89,5074,687.0
0.0,4145,326.0
57395.46,11271,1538.0
39428.18,7391,1157.0
67921.8,11083,1127.0
16653.47,2228,242.0
0.0,2161,199.0
6530.55,1629,362.0
94398.92,13174,2352.0
104483.5,11092,1967.0
59093.26,6703,1882.0
34668.77,4299,719.0
12277.22,3493,296.0
28665.32,4122,462.0
3452.5,1590,240.0
6900.69,2111,501.0
3480.47,719,269.0
3494.07,1568,245.0
9811.87,2270,185.0
74001.05,9503,1841.0
52559.34,6954,961.0
10630.32,5451,603.0
18285.19,8704,932.0
5000.0,690,85.0
5000.0,646,73.0
5000.0,783,70.0
5000.0,849,53.0
5000.0,782,53.0
5000.0,846,40.0
5000.0,802,47.0
5000.0,928,52.0
5000.0,820,64.0
5000.0,705,54.0
5000.0,869,54.0
5000.0,679,68.0
5000.0,636,70.0
2671.04,441,30.0
53419.91,5764,2117.0
23966.28,6009,742.0
35385.51,7755,684.0
6081.76,833,201.0
6919.6,2876,127.0
8893.11,1645,126.0
